id,titre,description,date
16661654,Vtoraâ mirovaâ : jeu vidéo,Édité par 1C company,2006
16667024,Bone : jeu vidéo,Série de jeux vidéo,2005
16667588,Crysis : jeu vidéo,Série de jeux vidéo,2007
17008950,The operational art of war : jeu vidéo,Série de jeux vidéo,1998
16712138,Kingdom hearts : jeu vidéo,"Édité par Square, puis Square Enix",2002
16713851,Furoggā : jeu vidéo,"Édité par Konami au Japon et Sega en Amérique du Nord, puis de nombreux autres éditeurs suivant les supports",1981
16729005,Wildlife park : jeu vidéo,Série de jeux vidéo,2003
16734811,Doom : jeu vidéo,Série de jeux vidéo,1993
16734811,Doom : jeu vidéo,Édité par différents éditeurs selon les plateformes,1993
17130888,Terminator : jeu vidéo,Série de jeux vidéo,1990
17134253,Vampire : jeu vidéo,"Série de jeux vidéo. - Intitulée ""Darkstalkers"" en Amérique du Nord et en Europe",1994
17138117,Lords of midnight : jeu vidéo,"Édité par Beyond software, Mindscape, Amsoft et Domark",1984
17026042,Gradius : jeu vidéo,"Mise à disposition en Europe sur bornes d'arcade, septembre 1985",1985-05
17026131,Gradius. II. GOFER no yabō : jeu vidéo,Édité par Konami,1988-03
17026188,Gradius gaiden : jeu vidéo,Édité par Konami,1997-08
16611644,Commandos : jeu vidéo,Série de jeux vidéo,1998
17143926,When superpowers collide : jeu vidéo,Série de jeux vidéo,1982
17143926,When superpowers collide : jeu vidéo,"Édité par Strategic Simulations, Inc.",1982
17147376,Millennium : jeu vidéo,Série de jeux vidéo,1989
17150354,Barbarian : jeu vidéo,Série de jeux vidéo,1987
17151141,International karate : jeu vidéo,Série de jeux vidéo,1985
17151347,Super sprint : jeu vidéo,Jeu de pilotage,1986-04
17163616,Superski : jeu vidéo,Édité par Microïds,1987
17007373,Little folk of Faery : jeu vidéo,Édité par Orange media et réédité par Anuman interactive,2009-11
16944050,"Singstar, ultimate party : jeu vidéo",Jeu de rythme,2014-10
16957189,Jewel legends. Magical kingdom : jeu vidéo,Sortie en Amérique du Nord,2013-10
16958916,Rock of ages : jeu vidéo,Première sortie en France,2011-08
16968079,"The Muppets, movie adventures : jeu vidéo","Jeu d'aventure. - Inspiré de la série télévisée ""The Muppet show""",2014-11
16971051,Lego Harry Potter. Years 5-7 : jeu vidéo,Édité par Warner bros,2011-11
17076161,Offɭine : jeu vidéo,Édité par P. Clarissou,2014
17084846,Agora : jeu vidéo,Édité par Paul Clarissou,2015-08
17085528,Die very very fucking hard : jeu vidéo,Jeu d'action,2013-08
17010861,Transporteur de voitures 2013 : jeu vidéo,"Jeu de gestion ; jeu de pilotage. - Intitulé ""Transporteur de voitures 2013"" ou ""Transport auto simulator"" en France",2012-12
17011090,The black gold : jeu vidéo,Première sortie en Iran,2011
17017758,Dracula. 5. The blood legacy : jeu vidéo,Édité par Microïds,2013-12
17026963,WWE 2K16 : jeu vidéo,Édité par 2K sports,2015-10
17166397,Should have worn socks today : jeu vidéo,Jeu de rôle,2015-08
17166590,A thing about nothingness : jeu vidéo,Édité par Pierre Corbinais,2013-04
16946914,Rugby 15 : jeu vidéo,Jeu de simulation sportive,2014-11
16957189,Jewel legends. Magical kingdom : jeu vidéo,Édité par Mind elevator games,2013-10
16961134,World truck racing : jeu vidéo,Jeu de pilotage,2014-09
16962203,Spintires : jeu video,Édité par IMGN pro,2014-06
16972515,Lego Ninjago. Nindroids : jeu vidéo,Édité par TT games et Warner Bros. interactive entertainment inc.,2014-07
16976112,Tales of Hearts : jeu vidéo,Édité par Namco Bandai games,2008-12
17075853,Moshimoshi : jeu vidéo,Édité par A. Gibson,2013-08
17076289,Squid squad : jeu vidéo,Édité par T. Troalen et T. Victor,2014
17079832,Forever : jeu vidéo,Édité par Paul Clarissou,2015
17081418,Army men. Sarge's heroes : jeu vidéo,Jeu d'action,1999-09
17083706,Villain glance : jeu vidéo,Édité par Titouan Millet,2012
17010772,Port simulator 2012 : jeu vidéo,Jeu de gestion,2012-02
17005896,Navy commander : jeu vidéo,Première sortie sur support en Europe le même mois,2015-03
17006178,I love my cats : jeu vidéo,Édité par Bigben interactive,2015-07
16985495,"The walking dead, season two : jeu vidéo","Jeu d'action. - Inspiré de la bande dessinée créée par Robert Kirkman, Tony Moore et Charlie Adlard",2013-12
17035674,Tony Hawk's pro skater 5 : jeu vidéo,Jeu de simulation sportive,2015-09
17166397,Should have worn socks today : jeu vidéo,Édité par Pierre Corbinais,2015-08
17092399,Dragon ball GT. Final bout : jeu vidéo,"Jeu d'action. - Sorti sous le nom ""Dragon ball, final bout"" au Japon et en Europe et sous le nom ""Dragon ball, final bout GT"" en Amérique du Nord. - Inspiré de la série télévisée ""Dragon ball GT"" produit par le studio Toei Animation",1997-07
16953652,Middle-earth. Shadow of Mordor : jeu vidéo,Jeu d'action ; jeu de rôle,2014-09
16961959,Red Johnson's chronicles. One against all : jeu vidéo,Édité par Anuman interactive,2012-09
16962350,Heroes from the past. Joan of Arc : jeu vidéo,Édité par Big fish games,2013-04
16968079,"The Muppets, movie adventures : jeu vidéo",Édité par Sony computer entertainment Europe,2014-11
16969069,"Lego Legends of Chima, Laval's journey : jeu vidéo",Édité par Warner Bros. interactive entertainment inc.,2013-06
17075074,A cosmic forest : jeu vidéo,Jeu d'action,2013
17075874,Milmiliar : jeu vidéo,Jeu d'action,2015
17010123,"Fire & forget, the final assault : jeu vidéo","Édité par Interplay, réédité par Anuman interactive",2013-05
17014053,Woodcutter simulator 2013 : jeu vidéo,Édité par UIG Entertaiment,2013-01
17128286,Marvel ultimate Spider-man : jeu vidéo,Jeu éducatif. - Inspiré de l'univers des personnages Marvel,2015
16999702,The wolf among us : jeu vidéo,Jeu d'aventure,2013-10
16999702,The wolf among us : jeu vidéo,Édité par Telltale games,2013-10
17006229,Flap flap : jeu vidéo,Édité par Bigben interactive,2015-02
16985495,"The walking dead, season two : jeu vidéo",Première sortie sur plateformes de téléchargement (diverses plateformes suivant les supports),2013-12
17022283,LandGrabbers : jeu vidéo,Édité par Nevosoft puis Micro application en France,2011
17024473,NBA 2K16 : jeu vidéo,Édité par 2K sports,2015-09
17025814,Tales of Zestiria : jeu vidéo,Édité par Namco Bandai games,2015-01
17026556,Cocoto magic circus 2 : jeu vidéo,Édité par Bigben interactive,2013-11
17121364,Power disco crush color saga : jeu vidéo,Jeu d'arcade,2014-01
17166616,One of them : jeu vidéo,Édité par The Pixel Hunt en France,2015
17089121,Star fox zero : jeu vidéo,Jeu d'action,2016-04
17036926,Candy match 3 : jeu vidéo,Édité par BigBen interactive,2014-02
17036926,Candy match 3 : jeu vidéo,"Mise à disposition sur plateforme de téléchargement (3DS eShop) en Europe et Amérique du Nord, mai 2014",2014-02
17044298,Handball 16 : jeu vidéo,Édité par Bigben interactive,2015-11
17083163,Monster hunter X : jeu vidéo,Édité par Capcom,2015-11
17083651,Danbōru senki : jeu vidéo,Édité par Level 5,2012-07
17083980,Pokémon. Saphir alpha,Édité par Nintendo,2014-11-21
17094903,Dr. Mario : jeu vidéo,Édité par Nintendo co.,1990-07
17094979,Vs. balloon fight : jeu vidéo,Édité par Nintendo co.,1984-11
17098222,Monopoly deal : jeu vidéo,Jeu de réflexion,2014-11
17099773,Assassin's creed. III. Liberation : jeu vidéo,Édité par Ubisoft entertainement,2012-10
17125861,Each planet : jeu vidéo,Jeu d'action,2015
17126962,Yoshi's story : jeu vidéo,Édité par Nintendo,1997-12
17135544,Somebody order a pizza ? : jeu vidéo,Jeu d'arcade,2015-01
17135876,Split : jeu vidéo,Édité par Global Game Jam,2015-01
17137116,SamsarA : jeu vidéo,Édité par Global Game Jam,2014-01
17137995,CandyCulus : jeu vidéo,Édité par Global game jam,2014
17122491,PAON ! : jeu vidéo,Édité par Global game jam,2015-01
17117401,Boss mortem : jeu vidéo,Jeu d'aventure,2015
17146365,Le chat de Méliès : jeu vidéo,Jeu d'action,2014
17146377,LightByrinthe : jeu vidéo,Édité par Global game jam,2014
16595416,Grand slam tennis 2 : jeu vidéo,Édité par Electronic arts,2012-02
16595416,Grand slam tennis 2 : jeu vidéo,Jeu de simulation sportive,2012-02
16595568,The darkness II : jeu vidéo,Jeu d'action,2012-02-07
16595568,The darkness II : jeu vidéo,Édité par Take-Two interactive software,2012-02-07
16595807,"Global ops, commando Lybia : jeu vidéo",Jeu d'action,2011
16597257,The haunted. Hells reach : jeu vidéo,Jeu d'action,2011-10
16597257,The haunted. Hells reach : jeu vidéo,Édité par Micro application,2011-10
16644909,Spec ops. The line : jeu vidéo,Jeu d'action,2012-06
16644909,Spec ops. The line : jeu vidéo,Édité par 2K games,2012-06
16650901,Theatrhythm Final fantasy : jeu vidéo,Jeu de rythme,2012-02
16652036,Gravity daze : jeu vidéo,"Édité par Sony computer entertainment. - Réédité en 2016 sur PlayStation 4 sous le titre ""Gravity rush, remastered"" et comprenant des graphismes améliorés",2012-02
16652066,Resistance. Burning skies : jeu vidéo,Édité par Sony computer entertainment,2012-05
16652662,"Madagascar 3, the video game : jeu vidéo",Édité par D3 publisher,2012-06
16652662,"Madagascar 3, the video game : jeu vidéo","Jeu d'action. - Adapté du film d'animation ""Madagascar 3. Europe's most wanted"" réalisé par Eric Darnell, Conrad Vernon et Tom McGrath. - Intitulé ""Madagascar 3, the video game"" en Amérique du Nord",2012-06
16654059,Shinobi : jeu vidéo,"Jeu d'action ; jeu d'aventure. - Intitulé ""Shinobi 3D"" au Japon",2011-11
16654407,CRUSH 3D : jeu vidéo,Jeu de réflexion,2012-01
16654417,Sūpā monkī bōru 3D : jeu vidéo,Jeu d'action,2011-03
16654417,Sūpā monkī bōru 3D : jeu vidéo,Édité par Sega,2011-03
16656019,Wii fit plus : jeu vidéo,Édité par Nintendo,2009-10
16656642,Dance dance revolution II : jeu vidéo,Édité par Konami digital entertainment,2011-11
16656977,XCOM. Enemy unknown : jeu vidéo,Édité par 2K games,2012-10
16656977,XCOM. Enemy unknown : jeu vidéo,"Jeu de stratégie. - ""X-COM. Enemy within, commander edition"" est l'extension sur PC de ""X-COM. Enemy unknown"". - Sur consoles, ""X-COM. Enemy within, commander edition"" est une compilation de ""X-COM. Enemy unknown"" et de son extension",2012-10
16679137,Tekken tag tournament 2 : jeu vidéo,Édité par Namco Bandai games,2011-09
16679137,Tekken tag tournament 2 : jeu vidéo,Sortie sur support au Japon et en Europe le même mois,2011-09
16679391,Birds of steel : jeu vidéo,Jeu de simulation,2012-03
16679457,Blades of time : jeu vidéo,Édité par Konami digital entertainment,2012-03
16679512,NeverDead : jeu vidéo,Édité par Konami digital entertainment,2012-01
16679741,"Calling, kuroki chakushin : jeu vidéo",Édité par Hudson soft,2009-11
16682852,Inversion : jeu vidéo,Jeu d'action,2012-06
16682852,Inversion : jeu vidéo,Édité par Namco Bandai games,2012-06
16682933,Angry birds : jeu vidéo,Édité par Chillingo,2009-12
16683029,FIFA soccer 13 : jeu vidéo,Édité par Electronic arts,2012-09
16683138,Angry birds seasons : jeu vidéo,Jeu d'arcade,2011-10
16683227,Borderlands 2 : jeu vidéo,Édité par 2K games,2012-09
16683540,Ben 10 galactic racing : jeu vidéo,Édité par D3 publisher en Amérique du Nord et Namco Bandai games en Europe,2011-10
16683803,F1 2012 : jeu vidéo,Jeu de pilotage,2012-09
16683803,F1 2012 : jeu vidéo,Édité par Codemasters,2012-09
16758502,Segagaga : jeu vidéo,Jeu de rôle,2001-03
16562336,Disney princess. Enchanting storybooks : jeu vidéo,Édité par THQ,2011-11
16562336,Disney princess. Enchanting storybooks : jeu vidéo,Jeu d'aventure. - Inspiré des personnages de princesses apparaissant dans les films Disney,2011-11
16597516,Esprits criminels : jeu vidéo,Édité par Micro application,2008-12
16597579,Cocoto kart racer 2 : jeu vidéo,Jeu de pilotage,2011-11
16597579,Cocoto kart racer 2 : jeu vidéo,Édité par Neko entertainment,2011-11
16598457,Farming simulator 2011 : jeu vidéo,"Édité par  Excalibur publishing. - Farming simulator 2011, ProFarm 1 édité par Micro application",2010-10
16599174,Prototype 2 : jeu vidéo,Édité par Activision publishing,2012-04
16599187,Prototype : jeu vidéo,Édité par Activision publishing,2009-06
16599187,Prototype : jeu vidéo,Sortie en Europe et au Japon le même mois,2009-06
16601653,Army corps of Hell : jeu vidéo,Édité par Square Enix,2011-12
16601779,"Captain America, super soldier : jeu vidéo",Édité par Sega,2011-07
16601779,"Captain America, super soldier : jeu vidéo","Jeu d'action. - Adapté du film : ""Captain America : the first avenger"" réalisé par Joe Johnston",2011-07
16601817,Soulcalibur V : jeu vidéo,Édité par Namco Bandai games,2012-01
16601898,"Cyberbike 2, cycling sports : jeu vidéo",Édité par Bigben interactive,2011-11
