nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Harry Potter et les Reliques de la Mort,Q4040432,Xbox 360,2010,Electronic Arts,Electronic Arts,http://www.harrypotter.ea.com,Everyone 10+,PEGI 12,,
Tomb Raider: Legend,Tomb Raider,PlayStation 2,2006,Eidos Interactive,Crystal Dynamics,http://www.tombraider.com/server.php?change=LandingPage,Mature 17+,PEGI 12,,
Tomb Raider: Legend,Tomb Raider,PlayStation 3,2006,Eidos Interactive,Crystal Dynamics,http://www.tombraider.com/server.php?change=LandingPage,Mature 17+,PEGI 12,,
Tomb Raider: Legend,Tomb Raider,Xbox 360,2006,Eidos Interactive,Crystal Dynamics,http://www.tombraider.com/server.php?change=LandingPage,Mature 17+,PEGI 12,,
Tomb Raider: Legend,Tomb Raider,Xbox,2006,Eidos Interactive,Crystal Dynamics,http://www.tombraider.com/server.php?change=LandingPage,Mature 17+,PEGI 12,,
Wii Music,Wii (série),Wii,2008,Nintendo,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Wii Music,Wii (série),Wii,2008,Nintendo,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Wii Music,Wii (série),Wii,2008,Nintendo,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Wii Music,Wii (série),Wii,2008,Nintendo,Nintendo Entertainment Analysis and Development,,Everyone,PEGI 3,,
Syberia II,Q9348693,PlayStation 2,2004,XS Games,Microïds,http://www.syberia-series.com/en/,Teen,PEGI 3,,
Syberia II,Q9348693,PlayStation 3,2004,XS Games,Microïds,http://www.syberia-series.com/en/,Teen,PEGI 3,,
Syberia II,Q9348693,Xbox,2004,XS Games,Microïds,http://www.syberia-series.com/en/,Teen,PEGI 3,,
Contra ReBirth,Contra,Wii,2009,Konami,Q6713732,http://www.konami.jp/products/dl_wii_contra_re_ww,Everyone 10+,PEGI 12,,
Resident Evil Outbreak,Resident Evil,PlayStation 2,2003,Capcom,Capcom,,Mature 17+,PEGI 16,,
One Piece: Pirates' Carnival,liste de jeux vidéo One Piece,PlayStation 2,2005,Namco Bandai Games,H.a.n.d.,,,,,
Metroid Prime 2: Echoes,Metroid,Wii,2004,Nintendo,Retro Studios,http://metroid.jp/metroid_version3/index.html,Teen,PEGI 12,,
Front Mission 5: Scars of the War,Front Mission,PlayStation 2,2005,Square Enix,Square Enix,http://www.square-enix.co.jp/fm/fm5/,,,,
Tom Clancy's Ghost Recon Advanced Warfighter,Tom Clancy’s Ghost Recon,PlayStation 2,2006,Ubisoft,Ubisoft Paris,,Teen,PEGI 16,,
Tom Clancy's Ghost Recon Advanced Warfighter,Tom Clancy’s Ghost Recon,Xbox 360,2006,Ubisoft,Ubisoft Paris,,Teen,PEGI 16,,
Tom Clancy's Ghost Recon Advanced Warfighter,Tom Clancy’s Ghost Recon,Xbox,2006,Ubisoft,Ubisoft Paris,,Teen,PEGI 16,,
Yakuza Kenzan!,Yakuza,PlayStation 3,2008,Sega,Sega,http://ryu-ga-gotoku.com/kenzan/,,,,
X-Men: Next Dimension,,PlayStation 2,2002,Activision,Q6843314,,,,,
X-Men: Next Dimension,,Xbox,2002,Activision,Q6843314,,,,,
Deus Ex,Deus Ex,PlayStation 3,2000,Eidos Interactive,Ion Storm,http://web.archive.org/web/20080804054040/http://www.eidosinteractive.com/games/info.html?gmid=50,Mature 17+,PEGI 16,166129664,97d0ba05-48c2-3e8d-9d6d-306f2ffb790c
SimAnimals,,Wii,2009,Electronic Arts,Electronic Arts,http://www.simanimals.com/,,,,
Donald Duck Couak Attack,,PlayStation 2,2000,Ubisoft,Ubisoft Montréal,,Everyone,PEGI 3,,
Star Trek: Legacy,,Xbox 360,2013,Bethesda Softworks,Rockstar New England,,,,,
